Date,Open,High,Low,Close,Adj Close,Volume
2019-03-07,119.000000,119.000000,103.500000,107.000000,103.906906,359744
2019-03-08,106.000000,107.800003,105.500000,107.400002,104.295341,128354
2019-03-11,null,null,null,null,null,null
2019-03-12,null,null,null,null,null,null
2019-03-13,null,null,null,null,null,null
2019-03-14,null,null,null,null,null,null
2019-03-15,null,null,null,null,null,null
2019-03-18,null,null,null,null,null,null
2019-03-19,null,null,null,null,null,null
2019-03-20,null,null,null,null,null,null
2019-03-21,null,null,null,null,null,null
2019-03-22,null,null,null,null,null,null
2019-03-25,null,null,null,null,null,null
2019-03-26,null,null,null,null,null,null
2019-03-27,null,null,null,null,null,null
2019-03-28,null,null,null,null,null,null
2019-03-29,null,null,null,null,null,null
2019-04-01,null,null,null,null,null,null
2019-04-02,null,null,null,null,null,null
2019-04-03,null,null,null,null,null,null
2019-04-04,null,null,null,null,null,null
2019-04-05,null,null,null,null,null,null
2019-04-08,null,null,null,null,null,null
2019-04-09,null,null,null,null,null,null
2019-04-10,null,null,null,null,null,null
2019-04-11,null,null,null,null,null,null
2019-04-12,null,null,null,null,null,null
2019-04-15,null,null,null,null,null,null
2019-04-16,null,null,null,null,null,null
2019-04-17,null,null,null,null,null,null
2019-04-18,null,null,null,null,null,null
2019-04-22,null,null,null,null,null,null
2019-04-23,null,null,null,null,null,null
2019-04-24,null,null,null,null,null,null
2019-04-25,null,null,null,null,null,null
2019-04-26,null,null,null,null,null,null
2019-04-29,null,null,null,null,null,null
2019-04-30,null,null,null,null,null,null
2019-05-01,null,null,null,null,null,null
2019-05-02,null,null,null,null,null,null
2019-05-03,null,null,null,null,null,null
2019-05-06,null,null,null,null,null,null
2019-05-07,null,null,null,null,null,null
2019-05-08,null,null,null,null,null,null
2019-05-09,null,null,null,null,null,null
2019-05-10,null,null,null,null,null,null
2019-05-13,null,null,null,null,null,null
2019-05-14,null,null,null,null,null,null
2019-05-15,null,null,null,null,null,null
2019-05-16,null,null,null,null,null,null
2019-05-17,null,null,null,null,null,null
2019-05-20,null,null,null,null,null,null
2019-05-21,null,null,null,null,null,null
2019-05-22,null,null,null,null,null,null
2019-05-23,null,null,null,null,null,null
2019-05-24,null,null,null,null,null,null
2019-05-28,null,null,null,null,null,null
2019-05-29,null,null,null,null,null,null
2019-05-30,null,null,null,null,null,null
2019-05-31,null,null,null,null,null,null
2019-06-03,null,null,null,null,null,null
2019-06-04,null,null,null,null,null,null
2019-06-05,null,null,null,null,null,null
2019-06-06,null,null,null,null,null,null
2019-06-07,null,null,null,null,null,null
2019-06-10,null,null,null,null,null,null
2019-06-11,null,null,null,null,null,null
2019-06-12,null,null,null,null,null,null
2019-06-13,null,null,null,null,null,null
2019-06-14,null,null,null,null,null,null
2019-06-17,11.000000,11.300000,11.000000,11.210000,10.885948,3200
2019-06-18,11.300000,11.450000,11.300000,11.450000,11.119010,1800
2019-06-19,11.600000,12.000000,11.600000,12.000000,11.653111,4900
2019-06-20,12.000000,12.000000,11.850000,11.913000,11.568626,3800
2019-06-21,11.943000,12.000000,11.943000,12.000000,11.653111,700
2019-06-24,12.080000,12.150000,12.000000,12.000000,11.653111,3100
2019-06-25,12.000000,12.000000,11.850000,12.000000,11.653111,3200
2019-06-26,12.220000,12.220000,11.750000,11.750000,11.410337,1500
2019-06-27,11.700000,11.700000,11.700000,11.700000,11.361783,200
2019-06-28,11.800000,11.800000,11.800000,11.800000,11.458893,500
2019-07-01,11.900000,11.950000,11.900000,11.900000,11.556001,600
2019-07-02,11.730000,11.850000,11.700000,11.801000,11.459864,800
2019-07-03,11.780000,11.900000,11.660000,11.660000,11.322939,700
2019-07-05,11.660000,11.660000,11.660000,11.660000,11.322939,100
2019-07-08,11.900000,12.100000,11.900000,12.000000,11.653111,1700
2019-07-09,12.000000,12.100000,11.900000,11.900000,11.556001,57100
2019-07-10,12.000000,12.400000,12.000000,12.400000,12.041548,3500
2019-07-11,12.450000,12.500000,12.450000,12.500000,12.138658,1400
2019-07-12,12.707000,12.790000,12.707000,12.790000,12.420274,800
2019-07-15,12.800000,13.880000,12.800000,13.530000,13.138883,12700
2019-07-16,13.780000,13.780000,13.350000,13.350000,12.964087,20500
2019-07-17,13.000000,13.000000,12.244000,12.270000,11.915306,10800
2019-07-18,12.200000,12.300000,12.060000,12.300000,11.944439,2800
2019-07-19,12.350000,12.350000,12.350000,12.350000,11.992994,300
2019-07-22,12.840000,12.899000,12.666000,12.850000,12.478540,2500
2019-07-23,13.000000,13.000000,12.800000,12.890000,12.517385,1200
2019-07-24,12.900000,12.905000,12.900000,12.900000,12.527094,2800
2019-07-25,13.400000,13.480000,13.025000,13.250000,12.866977,2600
2019-07-26,13.220000,13.250000,12.670000,12.690000,12.323164,5600
2019-07-29,12.900000,12.900000,12.450000,12.471000,12.110496,4400
2019-07-30,12.680000,12.680000,12.450000,12.450000,12.090102,1700
2019-07-31,12.710000,12.710000,12.615000,12.615000,12.250333,500
2019-08-01,12.760000,12.760000,12.250000,12.250000,11.895885,2300
2019-08-02,12.050000,12.500000,12.050000,12.270000,11.915306,3000
2019-08-05,12.000000,12.000000,11.600000,11.600000,11.264674,3100
2019-08-06,11.620000,11.690000,11.620000,11.690000,11.352072,1100
2019-08-07,11.750000,11.750000,11.000000,11.000000,10.682018,6300
2019-08-08,11.120000,11.120000,10.900000,10.900000,10.584908,2100
2019-08-09,11.110000,11.110000,10.937000,10.937000,10.620840,800
2019-08-12,11.170000,11.170000,10.703000,10.703000,10.393604,3500
2019-08-13,10.400000,10.600000,10.250000,10.505000,10.201327,5000
2019-08-14,10.550000,10.550000,9.800000,9.966000,9.677908,13300
2019-08-15,9.970000,9.970000,9.122000,9.300000,9.031161,7300
2019-08-16,9.400000,9.520000,9.220000,9.450000,9.176825,10200
2019-08-19,9.770000,10.050000,9.697000,10.050000,9.759480,8600
2019-08-20,10.180000,10.180000,9.760000,10.015000,9.725493,4700
2019-08-21,10.250000,10.700000,10.250000,10.475000,10.172194,1800
2019-08-22,10.650000,10.650000,10.100000,10.100000,9.808036,4700
2019-08-23,10.000000,10.130000,9.840000,9.840000,9.555551,6200
2019-08-26,9.950000,10.185000,9.920000,10.185000,9.890578,4100
2019-08-27,10.180000,10.180000,9.960000,9.960000,9.672082,900
2019-08-28,9.800000,9.950000,9.750000,9.950000,9.662372,4000
2019-08-29,9.990000,10.060000,9.830000,9.830000,9.545840,1700
2019-08-30,10.100000,10.100000,9.850000,9.850000,9.565263,1200
2019-09-03,9.930000,9.930000,9.700000,9.700000,9.419598,1800
2019-09-04,9.950000,10.000000,9.800000,9.800000,9.516707,500
2019-09-05,9.927000,10.100000,9.927000,10.006000,9.716752,900
2019-09-06,10.187000,10.220000,9.850000,9.850000,9.565263,700
2019-09-09,10.000000,10.230000,9.956000,10.223000,9.927480,2300
2019-09-10,10.350000,10.495000,10.075000,10.075000,9.783758,500
2019-09-11,10.250000,10.400000,10.250000,10.250000,9.953699,700
2019-09-12,10.070000,10.260000,9.990000,9.990000,9.701215,1400
2019-09-13,10.200000,10.200000,10.000000,10.000000,9.710926,400
2019-09-16,10.207000,10.210000,10.040000,10.040000,9.749770,900
2019-09-17,10.200000,10.200000,9.990000,9.993000,9.704128,1300
2019-09-18,9.990000,9.993000,9.850000,9.928000,9.641007,3400
2019-09-19,10.170000,10.235000,9.980000,9.995000,9.706070,800
2019-09-20,9.980000,9.980000,9.600000,9.700000,9.419598,2900
2019-09-23,9.610000,9.710000,9.610000,9.710000,9.429310,500
2019-09-24,10.000000,10.000000,9.620000,9.620000,9.341911,300
2019-09-25,9.990000,9.990000,9.660000,9.660000,9.380754,300
2019-09-26,9.990000,9.990000,9.750000,9.750000,9.468152,400
2019-09-27,9.827000,9.900000,9.650000,9.650000,9.371043,400
2019-09-30,9.780000,9.780000,9.650000,9.650000,9.371043,3200
2019-10-01,9.650000,9.650000,9.650000,9.650000,9.371043,200
2019-10-02,9.650000,9.650000,9.300000,9.533000,9.257426,5500
2019-10-03,9.750000,9.750000,9.000000,9.240000,8.972896,4600
2019-10-04,9.240000,9.397000,9.220000,9.370000,9.099137,1800
2019-10-07,9.250000,10.960000,9.250000,10.300000,10.002254,5500
2019-10-08,10.300000,10.300000,9.980000,9.987000,9.698302,3800
2019-10-09,10.080000,10.700000,9.990000,10.690000,10.380980,2900
2019-10-10,10.690000,11.255000,10.638000,11.164000,10.841277,6300
2019-10-11,11.610000,11.670000,11.500000,11.670000,11.332650,5600
2019-10-14,11.500000,11.500000,10.910000,11.370000,11.041323,5500
2019-10-15,11.390000,11.390000,10.850000,10.980000,10.662597,2800
2019-10-16,10.900000,10.900000,10.652000,10.700000,10.390691,2500
2019-10-17,10.770000,10.900000,10.700000,10.900000,10.584908,700
2019-10-18,10.800000,11.000000,10.400000,11.000000,10.682018,2900
2019-10-21,11.010000,11.180000,10.900000,11.180000,10.856815,2500
2019-10-22,10.750000,10.750000,10.330000,10.510000,10.206183,4100
2019-10-23,10.400000,10.800000,10.339000,10.800000,10.487801,6000
2019-10-24,11.027000,11.027000,10.900000,10.900000,10.584908,600
2019-10-25,10.750000,11.350000,10.400000,11.350000,11.021902,3900
2019-10-28,10.600000,10.700000,10.139000,10.504000,10.200356,18800
2019-10-29,10.500000,10.500000,9.950000,10.200000,9.905145,5000
2019-10-30,10.180000,10.180000,9.360000,10.010000,9.720637,16700
2019-10-31,10.010000,10.010000,9.300000,9.600000,9.322489,6800
2019-11-01,9.730000,10.390000,9.272000,10.050000,9.759480,13900
2019-11-04,10.060000,10.060000,9.380000,9.380000,9.108849,10100
2019-11-05,9.500000,9.520000,9.200000,9.200000,8.934052,10100
2019-11-06,9.250000,9.250000,8.650000,8.812000,8.557268,15800
2019-11-07,8.940000,8.940000,8.760000,8.800000,8.545615,6000
2019-11-08,8.690000,8.973000,8.660000,8.660000,8.409661,2800
2019-11-11,8.680000,8.790000,8.680000,8.695000,8.443649,1100
2019-11-12,8.690000,8.840000,8.619000,8.700000,8.448505,3900
2019-11-13,8.800000,8.980000,8.800000,8.857000,8.600967,2700
2019-11-14,8.980000,9.180000,8.980000,9.180000,8.914630,2800
2019-11-15,9.210000,9.337000,9.190000,9.330000,9.060293,2000
2019-11-18,9.200000,9.200000,8.810000,8.981000,8.721383,3200
2019-11-19,9.120000,9.250000,8.660000,9.150000,8.885497,11800
2019-11-20,9.160000,9.400000,9.150000,9.334000,9.064178,13600
2019-11-21,9.700000,10.200000,9.700000,10.100000,9.808036,10800
2019-11-22,10.000000,10.000000,9.560000,9.700000,9.419598,25200
2019-11-25,9.670000,9.990000,9.670000,9.760000,9.477864,3300
